	name	clade	strain
1144	EPI-ISL-15896281_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896281
1145	EPI-ISL-16714767_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714767
1146	EPI-ISL-16714807_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714807
1147	EPI-ISL-17066825_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066825
1148	EPI-ISL-15896288_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896288
1149	EPI-ISL-16714776_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714776
1150	EPI-ISL-16714775_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714775
1151	EPI-ISL-16714771_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714771
1152	EPI-ISL-15896259_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896259
1153	EPI-ISL-16714778_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714778
1154	EPI-ISL-17066781_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066781
1155	EPI-ISL-15896253_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896253
1156	EPI-ISL-15896192_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896192
1157	EPI-ISL-15896279_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896279
1158	EPI-ISL-15896226_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896226
1159	EPI-ISL-16881200_Scotland_2022	B.D.3.2.1.4	EPI-ISL-16881200
1160	EPI-ISL-16960043_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960043
1161	EPI-ISL-16959755_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959755
1162	EPI-ISL-16959936_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959936
1163	EPI-ISL-16959705_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959705
1164	EPI-ISL-16960040_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960040
1165	EPI-ISL-16959878_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959878
1166	EPI-ISL-16959678_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959678
1167	EPI-ISL-16960041_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960041
1168	EPI-ISL-16959941_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959941
1169	EPI-ISL-16959893_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959893
1170	EPI-ISL-16959906_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959906
1171	EPI-ISL-16959480_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959480
1172	EPI-ISL-16959932_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959932
1173	EPI-ISL-16960105_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960105
1174	EPI-ISL-16959991_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959991
1175	EPI-ISL-16960106_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960106
1176	EPI-ISL-16959988_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959988
1177	EPI-ISL-16959990_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959990
1178	EPI-ISL-16959845_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959845
1179	EPI-ISL-16960093_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960093
1180	EPI-ISL-16960107_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960107
1181	EPI-ISL-16960147_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960147
1182	EPI-ISL-16960148_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960148
1183	EPI-ISL-16960109_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960109
1184	EPI-ISL-16959841_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959841
1185	EPI-ISL-16960108_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960108
1186	EPI-ISL-16960110_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960110
1187	EPI-ISL-16959472_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959472
1188	EPI-ISL-16959864_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959864
1189	EPI-ISL-16959998_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959998
1190	EPI-ISL-16960000_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960000
1191	EPI-ISL-16960119_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960119
1192	EPI-ISL-16960124_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960124
1193	EPI-ISL-16960121_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960121
1194	EPI-ISL-16959701_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959701
1195	EPI-ISL-16959726_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959726
1196	EPI-ISL-16959828_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959828
1197	EPI-ISL-16959874_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959874
1198	EPI-ISL-16960097_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960097
1199	EPI-ISL-16959704_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959704
1200	EPI-ISL-16959631_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959631
1201	EPI-ISL-16959469_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959469
1202	EPI-ISL-16960095_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960095
1203	EPI-ISL-16960031_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960031
1204	EPI-ISL-16960053_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960053
1205	EPI-ISL-16960027_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960027
1206	EPI-ISL-16959940_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959940
1207	EPI-ISL-16959855_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959855
1208	EPI-ISL-16959854_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959854
1209	EPI-ISL-16960128_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960128
1210	EPI-ISL-16959752_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959752
1211	EPI-ISL-16960017_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960017
1212	EPI-ISL-16959880_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959880
1213	EPI-ISL-16960078_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960078
1214	EPI-ISL-16959753_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959753
1215	EPI-ISL-16959723_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959723
1216	EPI-ISL-16959844_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959844
1217	EPI-ISL-16959586_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959586
1218	EPI-ISL-16959650_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959650
1219	EPI-ISL-16959956_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959956
1220	EPI-ISL-16959475_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959475
1221	EPI-ISL-16960142_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960142
1222	EPI-ISL-16959696_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959696
1223	EPI-ISL-16960144_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960144
1224	EPI-ISL-16959850_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959850
1225	EPI-ISL-16959931_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959931
1226	EPI-ISL-16959470_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959470
1227	EPI-ISL-16959658_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959658
1228	EPI-ISL-16959610_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959610
1229	EPI-ISL-16959611_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959611
1230	EPI-ISL-16959657_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959657
1231	EPI-ISL-16959938_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959938
1232	EPI-ISL-16960092_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960092
1233	EPI-ISL-16960028_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960028
1234	EPI-ISL-16959950_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959950
1235	EPI-ISL-16960075_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960075
1236	EPI-ISL-16960001_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960001
1237	EPI-ISL-16960033_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960033
1238	EPI-ISL-16960080_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960080
1239	EPI-ISL-16959937_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959937
1240	EPI-ISL-16959888_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959888
1241	EPI-ISL-16960015_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960015
1242	EPI-ISL-16960006_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960006
1243	EPI-ISL-16959892_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959892
1244	EPI-ISL-16959921_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959921
1245	EPI-ISL-15774061_Australia_2021	B.D.3.2.1.4	EPI-ISL-15774061
1246	EPI-ISL-11817074_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817074
1247	EPI-ISL-15774048_Australia_2021	B.D.3.2.1.4	EPI-ISL-15774048
1248	OM857382_Australia_2021	B.D.3.2.1.4	OM857382
1249	EPI-ISL-11817057_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817057
1250	EPI-ISL-11817085_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817085
1251	EPI-ISL-15774037_Australia_2021	B.D.3.2.1.4	EPI-ISL-15774037
1252	EPI-ISL-11817031_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817031
1253	EPI-ISL-11817054_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817054
1254	EPI-ISL-15774052_Australia_2021	B.D.3.2.1.4	EPI-ISL-15774052
1255	EPI-ISL-11817037_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817037
1256	EPI-ISL-11817059_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817059
1257	EPI-ISL-11817067_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817067
1258	EPI-ISL-15774034_Australia_2021	B.D.3.2.1.4	EPI-ISL-15774034
1259	EPI-ISL-11817063_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817063
1260	EPI-ISL-11817084_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817084
1261	OM857383_Australia_2021	B.D.3.2.1.4	OM857383
1262	OM857389_Australia_2020	B.D.3.2.1.4	OM857389
1263	EPI-ISL-16959498_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959498
1264	EPI-ISL-16960067_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960067
1265	EPI-ISL-16959558_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959558
1266	EPI-ISL-16959786_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959786
1267	EPI-ISL-16959891_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959891
1268	EPI-ISL-16959898_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959898
1269	EPI-ISL-16959853_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959853
1270	EPI-ISL-16960145_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960145
1271	EPI-ISL-16959896_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959896
1272	EPI-ISL-16959912_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959912
1273	EPI-ISL-16959529_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959529
1274	EPI-ISL-16959911_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959911
1275	EPI-ISL-16959527_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959527
1276	EPI-ISL-16959521_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959521
1277	EPI-ISL-16959929_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959929
1278	EPI-ISL-16959494_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959494
1279	EPI-ISL-16959811_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959811
1280	EPI-ISL-16959513_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959513
1281	EPI-ISL-16959477_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959477
1282	EPI-ISL-16960018_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960018
1283	EPI-ISL-16960019_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960019
1284	EPI-ISL-16959505_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959505
1285	EPI-ISL-16959993_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959993
1286	EPI-ISL-16960116_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960116
1287	EPI-ISL-16959812_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959812
1288	EPI-ISL-16959900_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959900
1289	EPI-ISL-16959815_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959815
1290	EPI-ISL-16959524_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959524
1291	EPI-ISL-16959903_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959903
1292	EPI-ISL-16959519_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959519
1293	EPI-ISL-16960150_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960150
1294	EPI-ISL-16960134_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960134
1295	EPI-ISL-16959506_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959506
1296	EPI-ISL-16960135_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960135
1297	EPI-ISL-16959785_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959785
1298	EPI-ISL-16959935_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959935
1299	EPI-ISL-16960146_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960146
1300	EPI-ISL-16959488_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959488
1301	EPI-ISL-16959797_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959797
1302	EPI-ISL-16959805_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959805
1303	EPI-ISL-16959517_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959517
1304	EPI-ISL-16959493_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959493
1305	EPI-ISL-16959499_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959499
1306	EPI-ISL-16959487_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959487
1307	EPI-ISL-16959897_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959897
1308	EPI-ISL-16959791_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959791
1309	EPI-ISL-16960138_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960138
1310	EPI-ISL-16959523_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959523
1311	EPI-ISL-16959930_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959930
1312	EPI-ISL-16959502_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959502
1313	EPI-ISL-16959518_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959518
1314	EPI-ISL-16959894_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959894
1315	EPI-ISL-16959794_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959794
1316	EPI-ISL-16959984_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959984
1317	EPI-ISL-16959489_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959489
1318	EPI-ISL-16959909_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959909
1319	EPI-ISL-16959476_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959476
1320	EPI-ISL-16960096_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960096
1321	EPI-ISL-16959560_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959560
1322	EPI-ISL-16959795_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959795
1323	EPI-ISL-16959804_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959804
1324	EPI-ISL-16959491_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959491
1325	EPI-ISL-16959913_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959913
1326	EPI-ISL-16960020_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960020
1327	EPI-ISL-16959520_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959520
1328	EPI-ISL-16959796_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959796
1329	EPI-ISL-16960133_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960133
1330	EPI-ISL-16959992_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959992
1331	EPI-ISL-16959917_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959917
1332	EPI-ISL-16960009_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960009
1333	EPI-ISL-16959801_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959801
1334	EPI-ISL-16959902_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959902
1335	EPI-ISL-16959839_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959839
1336	EPI-ISL-16959876_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959876
1337	EPI-ISL-16959875_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959875
1338	EPI-ISL-16959763_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959763
1339	EPI-ISL-16960035_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960035
1340	EPI-ISL-16959760_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959760
1341	EPI-ISL-16959939_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959939
1342	EPI-ISL-16960063_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960063
1343	EPI-ISL-16959716_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959716
1344	EPI-ISL-16960122_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960122
1345	EPI-ISL-16960126_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960126
1346	EPI-ISL-16959739_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959739
1347	EPI-ISL-16959516_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959516
1348	EPI-ISL-16959790_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959790
1349	EPI-ISL-16960127_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960127
1350	EPI-ISL-16960143_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960143
1351	EPI-ISL-16959996_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959996
1352	EPI-ISL-16960123_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16960123
1353	EPI-ISL-17066792_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066792
1354	EPI-ISL-17066796_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066796
1355	EPI-ISL-15896207_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896207
1356	EPI-ISL-15896224_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896224
1357	EPI-ISL-15896220_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896220
1358	EPI-ISL-16714754_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714754
1359	EPI-ISL-15896236_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896236
1360	EPI-ISL-15896274_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896274
1361	EPI-ISL-11817098_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817098
1362	EPI-ISL-11817089_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817089
1363	EPI-ISL-16714762_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714762
1364	EPI-ISL-15896249_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896249
1365	EPI-ISL-15896284_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896284
1366	EPI-ISL-17066790_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066790
1367	EPI-ISL-11817087_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817087
1368	EPI-ISL-11817093_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817093
1369	EPI-ISL-11817131_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817131
1370	EPI-ISL-11817137_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817137
1371	EPI-ISL-11817132_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817132
1372	EPI-ISL-11817130_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817130
1373	EPI-ISL-11817134_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817134
1374	EPI-ISL-11817114_Australia_2020	B.D.3.2.1.4	EPI-ISL-11817114
1375	EPI-ISL-11817121_Australia_2020	B.D.3.2.1.4	EPI-ISL-11817121
1376	OM857387_Australia_2021	B.D.3.2.1.4	OM857387
1377	EPI-ISL-11817139_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817139
1378	OM857385_Australia_2021	B.D.3.2.1.4	OM857385
1379	EPI-ISL-11817033_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817033
1380	EPI-ISL-11817052_Australia_2021	B.D.3.2.1.4	EPI-ISL-11817052
1381	EPI-ISL-15774036_Australia_2021	B.D.3.2.1.4	EPI-ISL-15774036
1382	OM857388_Australia_2020	B.D.3.2.1.4	OM857388
1383	EPI-ISL-11817129_Australia_2020	B.D.3.2.1.4	EPI-ISL-11817129
1384	OM857384_Australia_2021	B.D.3.2.1.4	OM857384
